# g E0 dE/E VOP ZXZ X
9.944444444000000161e-01 -1.269701144086885725e+00 2.754157742034065687e-05 2.146218122276662837e-02 6.453189619944867950e-01 6.278703507355043456e-01
9.972222221800000064e-01 -1.271454037262090164e+00 2.068321344475596132e-05 3.091519733513301699e-02 6.393051747266257356e-01 6.339097229036313452e-01
9.999999999599999967e-01 -1.273222342811916930e+00 1.351033892431763165e-05 3.865248547376309157e-02 6.340576939920498090e-01 6.391646488454254538e-01
1.002777777739999987e+00 -1.275004667897610577e+00 9.742711221056216581e-06 4.660706580535198956e-02 6.292208401665638773e-01 6.439949528862402017e-01
1.005555555519999977e+00 -1.276799810909693855e+00 7.596443520865496701e-06 5.393570668835497711e-02 6.247434894685456319e-01 6.484538003511479687e-01
1.008333333299999968e+00 -1.278606961143313070e+00 6.157121963908586024e-06 6.385761366482682611e-02 6.205212891300767586e-01 6.526469474727235598e-01
1.011111111079999958e+00 -1.280425460618363376e+00 5.104843150820412245e-06 7.287758078517268812e-02 6.165127265424877878e-01 6.566169897655784737e-01
1.013888888859999948e+00 -1.282254689855945040e+00 4.335727593257758357e-06 7.861937650959591184e-02 6.126845433209924252e-01 6.603979527980793351e-01
1.016666666639999939e+00 -1.284094210020649163e+00 3.735855039417072405e-06 8.999960911999768665e-02 6.090005414111044901e-01 6.640265594328007559e-01
1.019444444419999929e+00 -1.285943605238498044e+00 3.255493193793504467e-06 1.001929031060971170e-01 6.054500006468275242e-01 6.675141626640469505e-01
1.022222222199999919e+00 -1.287802503372550644e+00 2.867211758386977095e-06 1.047444877923168621e-01 6.020215478851025370e-01 6.708726739091495084e-01
1.024999999980000132e+00 -1.289670585253601898e+00 2.543607737379872354e-06 1.153145087825364623e-01 5.986929813663804945e-01 6.741244916465096715e-01
1.027777777760000122e+00 -1.291547549529990624e+00 2.274932984065425488e-06 1.193646323465583636e-01 5.954623520858981500e-01 6.772720841009717274e-01

1.033333333333333215e+00 -1.295327094389751688e+00 1.847711049039324206e-06 1.350581771558372890e-01 5.892425585657375953e-01 6.833076153198536229e-01
1.050000000000000044e+00 -1.306855024420278566e+00 1.106357673685323549e-06 1.527091010220305023e-01 5.722120563184720510e-01 6.996599698310129734e-01
1.066666666666666652e+00 -1.318638266985846075e+00 7.500263252145855367e-07 1.727527346698152222e-01 5.569855413136177713e-01 7.140494308861005113e-01
1.083333333333333481e+00 -1.330648434091715959e+00 5.436676522241162918e-07 1.930125966215476552e-01 5.431154195621171743e-01 7.269535520948262608e-01
1.100000000000000089e+00 -1.342863477087423263e+00 4.063238678319886362e-07 2.121904305845759842e-01 5.303230429686114356e-01 7.386731221613381804e-01
1.116666666666666696e+00 -1.355265438288093982e+00 3.207834467899853819e-07 2.215420546919005529e-01 5.184216736001039383e-01 7.494123268214057942e-01
1.133333333333333304e+00 -1.367839301686905706e+00 2.534951363286441495e-07 2.372780493802961466e-01 5.072748282537331566e-01 7.593215942482109959e-01
1.149999999999999911e+00 -1.380572165486515068e+00 2.089452103516501915e-07 2.451812642637428430e-01 4.967851685786896510e-01 7.685104321947692219e-01
1.166666666666666519e+00 -1.393452835805553791e+00 1.672683937173740759e-07 2.608955780678889891e-01 4.868704631061647747e-01 7.770706052301331601e-01
1.183333333333333348e+00 -1.406471412093494022e+00 1.390426101967574400e-07 2.691606624858705055e-01 4.774706773775969637e-01 7.850710434764730516e-01
1.199999999999999956e+00 -1.419619107500463606e+00 1.179173660213325650e-07 2.774891926413735610e-01 4.685308400462289136e-01 7.925735563193627709e-01
1.216666666666666785e+00 -1.432888038540645725e+00 1.003762049262673180e-07 2.862778692666444469e-01 4.600086659621918650e-01 7.996268816791802791e-01
1.233333333333333393e+00 -1.446271083048558337e+00 8.646522690607605341e-08 2.947657101449531192e-01 4.518670099722064126e-01 8.062735728294390114e-01
1.250000000000000000e+00 -1.459761778151662082e+00 7.364154173902450170e-08 3.042373832060115135e-01 4.440740094128830528e-01 8.125502150216915576e-01
1.266666666666666607e+00 -1.473354223767822102e+00 6.210966522270332595e-08 3.147199964194126176e-01 4.366028412737978925e-01 8.184879337778568908e-01
1.283333333333333215e+00 -1.487043012625599347e+00 5.308959982392822655e-08 3.241541312946362163e-01 4.294272814716893483e-01 8.241161541626391696e-01
1.300000000000000044e+00 -1.500823174804319704e+00 4.588861294188319068e-08 3.335524246874275733e-01 4.225285765400653148e-01 8.294573833578888777e-01
1.316666666666666652e+00 -1.514690123693461787e+00 4.066963950665010409e-08 3.417722703809834561e-01 4.158871161343432044e-01 8.345339298467187028e-01
1.333333333333333481e+00 -1.528639618412428902e+00 3.537911453439954369e-08 3.502726606474366178e-01 4.094852804746633157e-01 8.393657534873993908e-01
1.350000000000000089e+00 -1.542667720842473944e+00 3.037296953738825128e-08 3.609295976948621587e-01 4.033082391230057295e-01 8.439699864836225363e-01
1.366666666666666696e+00 -1.556770767375211584e+00 2.659147623240300976e-08 3.693780440275271637e-01 3.973430943235811141e-01 8.483617120095772179e-01
1.383333333333333304e+00 -1.570945345143165195e+00 2.362548183991992779e-08 3.777977085536788349e-01 3.915766027892126910e-01 8.525557174039798403e-01
1.399999999999999911e+00 -1.585188266830199089e+00 2.095888387883481087e-08 3.860438316907676137e-01 3.859972456251157813e-01 8.565650151607451246e-01
1.416666666666666519e+00 -1.599496548852749278e+00 1.884306101616788198e-08 3.940408588277068413e-01 3.805953017753839207e-01 8.604008803183277321e-01
1.433333333333333348e+00 -1.613867396466296400e+00 1.634279629785520579e-08 4.032837028529160373e-01 3.753607162003688158e-01 8.640744281464377563e-01
1.449999999999999956e+00 -1.628298182757191404e+00 1.451188889254282666e-08 4.117435446962784407e-01 3.702850626675450729e-01 8.675952552531347450e-01
1.466666666666666785e+00 -1.642786440287399952e+00 1.277669391886086533e-08 4.212610986044031947e-01 3.653605150622621367e-01 8.709722217850898174e-01
1.483333333333333393e+00 -1.657329844863655977e+00 1.117992621397872980e-08 4.313529947003327258e-01 3.605788242449045056e-01 8.742141712489083227e-01
1.500000000000000000e+00 -1.671926205074235838e+00 9.846103803589248469e-09 4.409568101779163807e-01 3.559337490138922422e-01 8.773283040411679057e-01
